product_name,asin_x,seller_sku,uom,asin
"
Allergoff Milben-Spray - Das effektivste Milbenspray für Matratzen, Bett & Textilien - Bekämpfung von Milben und Allergenen","
B0CRSS6DHS","
ALLERGOFF_2_UK",0.0,
"
Catchmaster Bettwanzen Monitor zur Prävention einzigartig | biologisch abbaubares Mittel gegen Bettwanzen | 4 Stück | 7cm x 5cm","
B0D829T6XK","
CM-BM-4",0.0,
"
Novokill Fruit Fly Attractant | 1x 100ml Attractants up to 200 Days Protection | Easy Fruit Fly Trap Attactant for Kitchen | Effective Fruit Fly Killer",B09ZB8L9R4,FG-GXW2-2ANL,0.0,
"
Novokill Pearl 2X Cajas de Cebo para Pasta - Incl. 2X 10g de Cebo de Veneno - Portacebos Listos para Usar - Eficaz contra Ratones - Veneno para Ratones sin Resistencia","
B0BMGH2C7R","
DC-XPE5-TD6X",0.0,
Allergoff Milben Spray 400ml & Waschmittel 120ml Set ,,,9.0,
Allergoff Milben Spray 400ml & Waschmittel 120ml Set - Giftfrei & Sicher für Kinder & Haustiere - 6 Monate Langzeitschutz - Milbenspray für Matratzen & Waschmittel für Allergiker Bettwäsche ,B0DSGH4FGG,"
FT-AUD8-ALLE-WASH-6",0.0,
Allergoff Milben Spray und Milben Waschmittel | Set mit Milbenspray für Matratzen und Milben Waschmittel | Ideal zur Behandlung von Allergiker Bettwäsche | Hausstaubmilben bekämpfen,B0BQMQ7FD3,"	
FT-AUD8-ALLE-WASH",0.0,
"Allergoff Milben-Spray - Das effektivste Milbenspray für Matratzen, Bett & Textilien - Bekämpfung von Milben und Allergenen - Gegen Allergene von Tieren, Schimmel-Pilze, Pollen (800ml (2er Pack))",B09QKY6CDH,FT-AUD8-ALLE2,0.0,
"Allergoff Milben-Spray - Das effektivste Milbenspray für Polster, Matratzen & Bett - Bekämpfung von Milben und Allergenen - Für Allergiker - Gegen Allergene von Tieren, Schimmel-Pilze, Pollen 
COG: 3,99 / Price: 19,99",B09JGS8XQ5,FT-AUD8-ALLE,0.0,
Allergoff Spray und Wash Set,,,4.0,
Allergoff Wash 1er,,,2.02,
Allergoff Wash 6er Pack,,,7.0,
"Allergoff Wash Milben Waschmittel | Wirksam gegen Milben, Flöhe, Läuse, Bettwanzen | Anwendung vor der Wäsche | Ergänzung zum Milbenspray für Matratzen…",B0BNLPLSFB,ALLE-WASH-SACH,0.0,
"Allergoff Wash Milben Waschmittel | 6 Stück | Wirksam gegen Milben, Flöhe, Läuse, Bettwanzen | Anwendung vor der Wäsche | Ergänzung zum Milbenspray für Matratzen",B0BRBBQJVK,ALLE-WASH-PACK,0.0,
Ameisen Set 1,1551,Kaeferling Pro,12.0,
Ameisen Set 2,1552,Kaeferling Pro,24.0,
Ameisen Set 3,1553,Kaeferling Pro,36.0,
Ameisen Set 4,1554,Kaeferling Pro,48.0,
Amuleto Calm & Relax Spray 250ml ,,,1.0,
Amuleto Calm & Relax Spray 250ml - natürliches CBD Spray für Hunde & Katzen - Tierfreundliche Anwendung - für Stress-Abbau - Beruhigendes Spray ohne THC & auf Wasserbasis,"
B0D5178QQJ","
AMU_RELAX",0.0,
Amuleto Clean & Care Bath 2er Set - Zecken und Flohshampoo für Hunde & Katzen - Zeckenmittel 30 ml Konzentrat - Parasiten Shampoo für Hunde,B0DLHNH9SQ,"
AMU_C&C_2",0.0,
Amuleto Clean&Care 15ml,,,1.0,
Amuleto Clean&Care 15ml 2er,,,2.0,
"Amuleto Zecken und Flohshampoo für Hunde & Katzen - Zeckenmittel 15ml Konzentrat - Parasiten Shampoo für Hunde - Lindert Juckreiz, spendet Feuchtigkeit, beruhigt gereizte Haut - Clean & Care Bath","
B0D1WHHH78","
AMU_C&C",0.0,
Catchmaster 100i 10er,,n0-y1w7-e3yc,12.014285714285714,
Catchmaster 100i 3er,,,5.01,
Catchmaster 100i 6er,,,8.01,
Catchmaster 100i Case 100er,,,104.16666666,
Catchmaster 100i – 18x Premium Monitoring - Klebefallen - Made in USA - Gift und Biozidfrei - Mittel gegen - Kakerlaken | Heimchen | Schaben | Ohrenkneifer (6x3 Set),B08DG3V6F1,20-ANX3-M11Q,0.0,
Catchmaster 100i – 300x Premium Monitoring - Klebefallen - Made in USA - Gift und Biozidfrei - Mittel gegen - Kakerlaken | Heimchen | Schaben | Ohrenkneifer | Spinnen (300 STK),B08F7JHXJX,XK-QS7H-b300,0.0,
Catchmaster 100i – 30x Premium Schabenfalle - Kakerlaken-Falle Klebefallen - Kakerlaken bekämpfen - Gift und Biozidfrei - Mittel gegen Kakerlaken | Heimchen | Schaben,B08D246QL2,XK-QS7H-b510,0.0,
"Catchmaster 100i – Premium Monitoring - 9X Klebefallen - Made in USA - Gift und Biozidfrei - Mittel gegen - Kakerlaken | Heimchen | Schaben | Ohrenkneifer | Spinnen
 ",B08D2K51H5,"	
KQ-TOMA-M2G3",0.0,
Catchmaster 104-12 12er,,,15.027,
"Catchmaster 12x Insektenfalle Groß | Geeignet für die Bekämpfung von Spinnen, Schaben, Käfern und Motten",B09LQWW4B5,ZJ-MTP1-QJ82,0.0,
Catchmaster 288i 18er,B0DSR5HK74,,21.025,
Catchmaster 288i 6er,,,8.00833333,
Catchmaster 288i 72er,,,75.033,
Catchmaster 288i Silberfischfalle - 18x Silberfische Klebefalle – Papierfische und Silberfische bekämpfen - Effektives Mittel gegen Silberfische - Papierfische bekämpfen (18 Stück),B09MG3PXF5,8L-EMBI-18STK,0.0,
Catchmaster 288i Silberfischfalle - 54x Silberfische Klebefalle – Papierfische und Silberfische bekämpfen - Effektives Mittel gegen Silberfische - Papierfische bekämpfen (54 Stück),B09R7X131D,8L-EMBI-54STK,0.0,
Catchmaster 288i Silberfischfalle 15 Stück| Silberfische bekämpfen | Papierfische bekämpfen | 15x Silberfische Klebefalle | Effektives Mittel gegen Silberfischchen und Papierfischchen,B0C61XM52H,01120288-15,0.0,
Catchmaster 288i Silberfischfalle 5 Stück,B0DWHYTRHX,288i-15STK-NEW,7.009,
Catchmaster 504 Bettwanzen Monitor,,,1.00641026,
Catchmaster 724 2er,B0DVJ32VTH,724-8-NEU2-FBM,8.04166666,
Catchmaster 72MAX 10er,B0DWNLRZJC,72-MAX-10er-new,12.0,
Catchmaster 72MAX 12er,,,14.018518518518519,
Catchmaster 72MAX 4er,,,6.01,
Catchmaster 72MAX Case 72er,,,73.25,
Catchmaster 72MAX Piège à Souris - 10 Pièges Colle Souris - Plaque Collante - Plaques de glu - Attrape Souris - Grande Taille - efficaces,B0CQM23K3K,72-MAX-10er,0.0,
Catchmaster 72MAX Trappola per Topi grandi | Trappole Topi | Colla per Topi | 4x Trappole per topi interno | Con esche per topi nella colla per topi | Qualità Professionale,B0BS9XFRPP,8N-AKSM-KUBV,0.0,
Catchmaster 72TC 6er,,,8.01,
Catchmaster 72TC Case 72er,,,73.25,
Catchmaster 974-J Fly Jar,,,3.0700000000000003,
Catchmaster BDS-SLDR96 2er,,,5.01666667,
Catchmaster BDS-SLDR96 3er,,,6.04166667,
Catchmaster Bettwanzen Monitor,,,3.0,
Catchmaster Bettwanzen Monitor Prävention und Bettwanzen Bekämpfung einzigartig | biologisch abbaubares Mittel gegen Bettwanzen | 4 Stück | 7cm x 5cm,B0829CS19R,VL-01UD-P69Z,0.0,
Catchmaster Bettwanzen Monitor Prävention und Bettwanzen Bekämpfung einzigartig | biologisch abbaubares Mittel gegen Bettwanzen | 7cm x 5cm (12 Stk),B0881XZC6N,OL-VZ9T-U84B,0.0,
Catchmaster Bettwanzen Monitor Prävention und Bettwanzen Bekämpfung einzigartig | biologisch abbaubares Mittel gegen Bettwanzen | 7cm x 5cm (8 Stk),B087G4F94D,6U-IYAZ-H3T5,0.0,
"Catchmaster FLY JAR Profi Fliegenfalle | Schwarze Fliegen, Schmeißfliegen, Aasfliegen | 1x Fliegenfalle und 2x Köder | Organischer Lockstoff | Fliegen Fallen für den Außenbereich",B088QQ9NYJ,LK-H7EQ-7K0P,0.0,
Catchmaster Fliegendose Fliegenglas…,B07NK5HF62,5R-T2U2-AF2M,1.0166666666666666,
Catchmaster Fly Jar Attractant 2x,,,4.03333333,
"Catchmaster Insektenfalle Groß | Für die Bekämpfung von Spinnen, Schaben, Käfern und Motten",B09KH1RSVY,VZ-J4Q7-LOQE,0.0,
"Catchmaster Insektenfalle Großpackung | Geeignet für die Bekämpfung von Spinnen, Schaben, Käfern und Motten  B09RB8B2VD / 7C-JRTA-I0F0 ",B09RB8B2VD,7C-JRTA-IOFO,0.0,
Catchmaster Insektenfalle für Ameisen,B0BLP5MMJF,FS-LZH0-8JZA,0.0,
Catchmaster Insektenfalle für Keller und andere feuchte Gebiete,B0BN47F3VV,I6-UG8Y-WIAZ,0.0,
Catchmaster Insektenfalle | 8 Stück | Insekten Bekämpfen und Monitoren | biologisch abbaubare Klebefallen ohne Giftstoffe | (Spinnen & Schaben Klebefalle) | Kellerasseln bekämpfen,B087CXN215,X4-EMHD-OMJ7,0.0,
"Catchmaster Insektenfalle | Geeignet für die Bekämpfung von Spinnen, Schaben, Käfern und Motten",B092ZZHGZH,IL-437Q-6GLU,0.0,
Catchmaster Mäuse Glue Tray,,3W-MXCC-IXYG,9.027777777777779,
Catchmaster Piège à Souris | 12X | Anti Souris Efficace | Attrape | Colle Pré Appâté | Piège Collant pour S,B0CJBS7T4M,96M-12-STK,0.0,
"Catchmaster Profi Fliegenfalle | für Schwarze Fliegen, Schmeißfliegen, Aasfliegen | Wiederverwendbar | organischer Lockstoff | Nachfüllbar (Nur der Premium Köder 2X)",B08GKZL2L9,G6-R9EX-OTLb,0.0,
Catchmaster Ratten Glue Tray,,CC-SD8H-HE9Z,20.044444444444444,
Catchmaster Silberfischfalle 216x 288i - 100% Giftfrei - Ideal für Restaurants und Büros - Mittel gegen Silberfische mit Starkem Kleber - Effektiv gegen Papierfischchen zur Befallskontrolle,B0F1N1P83H,288i-216STK-CASE,0.0,
Catchmaster Twin Catch,,,5.0,
Catchmaster Twin Catch Mausefalle für innen & außen - Mehrfachfalle für Mäuse mit 2X Schlagfalle - Wiederverwendbare & Wetterbeständige Mäusefalle für Innen & Außen,B0CP7YG1GR,TWIN-CATCH,0.0,
"Catchmaster Ungeziefer Falle | 8X Effektive Insektenfalle | Silberfische bekämpfen | Kakerlaken bekämpfen | Silberfischfalle, Schabenfalle | Silberfische effektiv bekämpfen",B0D94XLQY4,724-2er-neu,0.0,
Deltasect Bedbug Set ,,,4.0600000000000005,
Dudexa New,,,3.0,
Dudexa Profi Lebendfalle Mausefalle | Für Innen und Außen | Tierfreundlich | Gebrauchsfertig & Einfach | Wetterfest | Unauffällig & Sicher| Hygienisch und Wiederverwendbar (with Glueboard),B0918G93J4,IL-437Q-1GLU,0.0,
Dudexa Profi Mausefalle Lebend | Lebendfalle Groß| Für Innen und Außen | Tierfreundlich | Gebrauchsfertig & Einfach | Wetterfest | Unauffällig & Sicher| Hygienisch und Wiederverwendbar,B08NCQ5Q3J,IL-437Q-1YRN,0.0,
Dudexa Profi-Falle-mit Glueboard,,,3.0,
Dudexa Profi-Lebendfalle,,,2.0,
Ghilotina Premium Schabenfalle GRT,,,22.02,
Ghilotina Premium Schabenfalle GRT | Kakerlaken Falle 10 Stück | Mit Köder für Schaben | Kakerlaken bekämpfen | Schädlingsfrei Sein | Für Schädlingsbekämpfung inkl.,B0C2CXBZNB,YW-JYRW-5ZBZ,0.0,
Ghilotina Schabenfalle | Kakerlaken Falle 10 Stück | Mit Köder für Schaben | Kakerlaken bekämpfen | Schädlingsfrei sein | Für Schädlingsbekämpfung inkl. Ebook zur Schabenbekämpfung,B08DNRFN8B,QO-G6BG-9TAT,0.0,
Ghilotina ohne Folie (alt),(ohne Tüte),,12.01428571,
Novokill Allergoff Spray 1er,,,1.0,
Novokill Allergoff Spray 2er,B0C9R2F4DV,FT-AUD8-ALLE2,4.0,
Novokill Allergoff Spray Dual Pack,,,1.0,
Novokill Ameisenköderdose 3 Stück,,,1.0,
"Novokill Ameisenköderdose 3 Stück – Effektive Ameisenfallen & Ameisenköderdosen für Innen & Außen, Geruchlos, Made in EU – Ameisengift zur schnellen Ameisenbekämpfung - IMIDASECT Ants…",B0C6B26DK8,0511203-01,0.0,
Novokill Ameisenköderdose 6 Stück,,,4.0,
"Novokill Ameisenköderdose 6 Stück – Effektive Ameisenfallen & Ameisenköderdosen für Innen & Außen, Geruchlos, Made in EU – Ameisengift zur schnellen Ameisenbekämpfung - IMIDASECT Ants",B0D23ZMJYF,0511203-01-02,0.0,
Novokill Bettwanzen Set,,,5.05555556,
Novokill Bettwanzen Set | 1x 500ml Bettwanzenspray + 4x Bettwanzen Monitore,B0CL555CNK,NK-DS-BETT-SET,0.0,
Novokill Bettwanzen Set | Bettwanzen Bekämpfung | Mit 4x Bettwanzen Monitoren & Anti Bettwanzen Spray 500 ml | Effektives Mittel gegen Bettwanzen,B09L86L8SR,91-YIAN-WSTB,0.0,
Novokill Catchmaster Piege a Rat | 12x Piège à Rat | Piège Collante Rat | Piège à Souris et Rats | Anti Souris Efficace | Produit Anti Rat Efficace | Plaque Collante Efficace | Raticide Professionnel,"
B0DPXYCCRB",1448B-12-FR,0.0,
Novokill Deltasect ,,8G-BJR1-MHKR,4.0,
Novokill Deltasect Silberfische & Schaben Spray 500ml | Starkes & Langlebiges Mittel gegen Kakerlaken | Silberfischspray mit Soforteffekt | Effektives Silberfischchen Spray…,B0BW4B9KKD,NK-DS-500ML,0.0,
Novokill Deltasect Spray Anti punaises et Poisson d'argent 500ml | Produit sans Odeur contre les punaises | Spray Poisson d argent avec Effet Immédiat | Produit Anti punaises puissant professionnel,B0CL4Y7ZM2,NK-DS-BETT-FR,0.0,
Novokill Fruchtfliegenfalle - 1x Effektive Obstfliegenfalle mit Premium Design | Fruchtfliegenfalle für Küche ohne Gift | 1x Lockstoff für bis zu 50 Tage Schutz | Fliegenfalle für Fruchtfliegen,B09ZVCTJL1,UX-E2F2-7KLN,0.0,
Novokill Fruchtfliegenfalle - 4x Effektive Obstfliegenfalle mit Premium Design | Fruchtfliegenfalle für Küche ohne Gift | Mit 2x Lockstoff | Bis zu 100 Tage Schutz | Fliegenfalle für Fruchtfliegen,B09ZVHKK5K,UX-E2F2-7GRO,0.0,
Novokill Fruchtfliegenfalle - Effektive Obstfliegenfalle mit Premium Design | 2x Fruchtfliegenfalle für Küche ohne Gift | Mit 1x Lockstoff für 50 Tage Schutz | Fliegenfalle für Fruchtfliegen,B097XV7KC7,UX-E2F2-7A4W,0.0,
Novokill Fruchtfliegenfalle 1 Falle 1 Köder,,,9.015,
Novokill Fruchtfliegenfalle 2er Set,,,6.02,
Novokill Fruchtfliegenfalle 4 Fallen 2 Köder,,,8.03,
Novokill Fruchtfliegenfalle Köder 1er,,,4.013,
Novokill Fruchtfliegenfalle Köder 4er,,,7.01333333333,
Novokill Fruchtfliegenfalle für Küche Giftfrei | 1 Obstfliegenfalle für Innenbereich & 30ml Lockstoff für bis zu 50 Tage Schutz | Essigfliegenfalle | Fruit Fly Trap | Kleine Fruchtfliegen loswerden…,B0D3VQSTMT,FFT-1er-neu,0.0,
Novokill Ghilotina,(mit Tüte),,11.01428571,
Novokill Home Protect,,,1.04,
"Novokill Home Protect - Das Insektenspray für die Wohnung | Gegen kriechende Insekten | Bekämpft Spinnen, Silberfische, Bettwanzen, Ameisen | 360° Ungeziefer Spray",B08Z3QFG5W,Q4-OWRS-HCC2,0.0,
Novokill Imidasect Schabengel,,93-FAB8-47ET,5.0,
Novokill Kakerlaken Komplettset,,,10.066666666666666,
"Novokill Kakerlaken Komplettset | Kakerlaken bekämpfen | 1x Schabenspray - 2x Große Schabenfalle, 9x Kakerlaken Falle - 1x Schabengel |",B0B69J1ZJD,R4-2W4J-LX98,0.0,
Novokill Kick The TICK,,,1.0,
Novokill Kick The TICK 2er Pack,,,4.025,
Novokill Kick The TICK 2er Pack Vereisungsspray & Profi Zeckenzange im Zeckenentferner Set - über 80 Anwendungen | Schmerzfreie Zeckenentfernung auch bei Kindern | Zeckenmittel für Hunde & Menschen,B0C61SYBXR,0641KTT-02,0.0,
Novokill Kick The TICK Zeckenentferner Set mit Vereisungsspray & Profi Zeckenzange | Zeckenhaken für einfache & risikoarme Zeckenentfernung | 9ml Zeckenmittel für Hunde & Menschen,B0BRQPD1BN,WI-JQ5B-C8OA,0.0,
"Novokill Kit Anti Cafards Deltasect | 1x Spray Anti-Cafards 500ml, 1x Gel Anti Cafards 10ml & 9x Pièges Collants | Spray Cafard avec Effet Immédiat & Long Terme",B0CGHWGB8T,SCHABEN-SET-FR,0.0,
Novokill Nachfüllpackung für Fruchtfliegenfalle für Küche | Gifftfrei | Passend für Novokill Obstfliegenfalle | 4x Lockstoff für bis zu 200 Tage Schutz,B09ZB8L9R4,FG-GXW2-2ANL,0.0,
Novokill Pearl 10er,,,15.0,
Novokill Pearl 2er,,,6.0,
Novokill Pearl 42er,,,47.0,
Novokill Pearl Cebo de Pasta para Ratones 10x 10g - Cebo de Recambio para el Control rápido y Humanitario de Ratones - Máxima Eficacia sin Resistencia - Cebo para Ratones para Lugares Secos y Húmedos,"
B0DDZRPR7T","

Pearl-10er-Refil",0.0,
Novokill Pearl Esca in Pasta per Topi 42x 10g - Esca di Ricarica per Il Controllo rapido e Umano dei Topi - Ricarica - 42x Esche pronte all'Uso - da Utilizzare Solo con la Stazione Esca Pearl,B0DDZR5QH5,"
Pearl-42er-Refill",0.0,
Novokill Premium Bettwanzen Set,,,8.1,
Novokill Premium Bettwanzen Set | Bettwanzen Bekämpfung | Mit 12x Bettwanzen Monitoren & Anti Bettwanzen Spray 500 ml mit hoher Wirkstoffkonzentration ,B0B152F1ZY,91-YIAN-PREM,0.0,
Novokill Premium Protect,,,1.04,
Novokill Premium Protect 171 - One Shot All Kill - The Premium - Ein Spray für alle Schädlinge - Für den Innen- und Außenbereich - Kriechende Insekten - Haus und Garten (Premium-Schutz 171),B08Z3F1S6S,FT-AUD8-PJI4,0.0,
Novokill RECOTIN,,RF-GX0G-GT9X,4.02,
Novokill RECOTIN GEL,,,2.0,
Novokill RECOTIN Insektenstichheiler Gel 20ml | 1x Mückenstich Gel | Salbe gegen Juckreiz nach Mückenstichen | Stichheiler nach Insektenstichen | Afterbite Gel für die Familie,B0C6273R3B,"	
06910RTG-01",0.0,
Novokill RECOTIN Insektenstichheiler Gel 40ml | 2x Mückenstich Gel | Salbe gegen Juckreiz nach Mückenstichen | Stichheiler nach Insektenstichen | Afterbite Gel für die Familie,B0B4T7L8MF,FO-KN89-I5VX,0.0,
Novokill RECOTIN Insektenstichheiler Pflaster 30x,,,2.0,
"Novokill RECOTIN Insektenstichheiler Pflaster 30x - Mückenpflaster - Für die Familie - Stechmücken, Bienen, Mückenstiche, Kinderpflaster",B0C61ZZDGW,06920RTP-01,0.0,
"Novokill RECOTIN Insektenstichheiler Set - Stichheiler Set - 30x Mückenpflaster und Afterbite Gel - Für die Familie - Stechmücken, Bienen, Mückenstiche, Kinderpflaster",B098NRM3NL,HF-L6JN-CT86,0.0,
Novokill RECOTIN Mückenstich Roll On 15ml - 100% natürliche Wirkstoffe - 1x Insektenstichheiler Roll On - Stichheiler gegen Juckreiz nach Mückenstichen - Afterbite Gel für die Familie,B0D2123T6B,"
06930RTR-01",0.0,
Novokill RECOTIN Mückenstich Roll On 2x 15ml - 100% natürliche Wirkstoffe - Urlaub Must Haves - 2x Insektenstichheiler Roll On - Stichheiler gegen Juckreiz nach Mückenstichen - Reiseapotheke,B0DBJ6WKXW,"
06930RTR-02",0.0,
Novokill RECOTIN Roll On 15ml ,,,1.0,
Novokill RECOTIN Roll On 2x15ml ,,,4.0,
Novokill Recotin Set,,,5.01,
Novokill Schaben Set,,,7.01,
Novokill Schaben Set | Schaben- und Kakerlaken bekämpfen | 9x Premium Schaben-Falle + 1x Premium Schabengel | Klebefallen zur Küchenschaben Bekämpfung,B09K5DP313,86-2F9D-OYPX,0.0,
Novokill Schabengel,,,3.02,
Novokill Schabengel - Gel zur Schaben Bekämpfung im 2er Pack - Bestes Mittel zum Kakerlaken bekämpfen - Hochwirksames Gel gegen Kakerlaken und Schaben - 2x 10g,B096VSC7XK,ML-EB2U-558Q,0.0,
Novokill Schabengel | Gel zur Schaben Bekämpfung | Mittel zum Kakerlaken bekämpfen | Mittel gegen Kakerlaken und Schaben | Aktive Schaben Bekämpfung | 1x 10g | 1x Schaben Gel,B0B7NP8MDF,QS-G035-QKNT,0.0,
Novokill Silberfisch Set,,,7.03333333,
Novokill Silberfische Set - Silberfische bekämpfen mit dem effektivsten Set - Papierfische bekämpfen - 9X Silberfischfalle und 1x Silberfisch-Spray - Bestes Mittel gegen Silberfische,B09MHZV6Q3,LF-QO0Z-HKIK,0.0,
Novokill Tip Trap 1er,,,4.01,
Novokill Tip Trap 2er,,,5.02,
"Novokill TipTrap Mausefalle Lebend für innen & außen - Lebendfalle Maus wetterfest, gebrauchsfertig & tierfreundlich - Wiederverwendbare Mäusefalle Lebend",B0CNH3K8G6,TIP-TRAP-1,0.0,
"Novokill TipTrap Mausefalle Lebend für innen & außen 2er Set - Lebendfalle Maus wetterfest, gebrauchsfertig & tierfreundlich - Wiederverwendbare Mäusefalle Lebend",B0CNH48KJT,TIP-TRAP-2,0.0,
"Novokill Trampa Ratones Vivos para Interior y Exterior | De Plástico Reciclado y Resistente, a Toda Prueba | Lista para Usar | Trampa para Ratones Vivos, Reutilizable con Trampa Raton Adhesiva",B0CM3YG1KS,DUDEXA_NEW,0.0,
Schaben Set 1,1555,Kaeferling Pro,9.0,
Schaben Set 1 - Small,,,25.0,
Schaben Set 2,1556,Kaeferling Pro,18.0,
Schaben Set 2 - Medium,,,50.0,
Schaben Set 3,1557,Kaeferling Pro,27.0,
Schaben Set 3 - Large,,,75.0,
Schaben Set 4,1558,Kaeferling Pro,36.0,
Schaben Set 4 - Extra Large,,,100.0,
"Schabenset Deltasect, Schabengel, 100i",,,7.0,
